BLK,BlackRock,Financials
ICE,Intercontinental Exchange,Financials
VRSK,Verisk Analytics,Industrials
CHK,Chesapeake Energy,Energy
TROW,T. Rowe Price Group,Financials
WMB,Williams Cos.,Energy
BIIB,BIOGEN IDEC Inc.,Health Care
MMM,3M Company,Industrials
HCN,Welltower Inc.,Real Estate
CNP,CenterPoint Energy,Utilities
UA,Under Armour,Consumer Discretionary
CPB,Campbell Soup,Consumer Staples
PHM,Pulte Homes Inc.,Consumer Discretionary
FTI,FMC Technologies Inc.,Energy
PBCT,People's United Financial,Financials
LNC,Lincoln National,Financials
AMP,Ameriprise Financial,Financials
MLM,Martin Marietta Materials,Materials
OKE,ONEOK,Energy
DISCK,Discovery Communications-C,Consumer Discretionary
BBT,BB&T Corporation,Financials
LEN,Lennar Corp.,Consumer Discretionary
ROK,Rockwell Automation Inc.,Industrials
MON,Monsanto Co.,Materials
HUM,Humana Inc.,Health Care
DHR,Danaher Corp.,Health Care
CLX,The Clorox Company,Consumer Staples
BRK.B,Berkshire Hathaway,Financials
MSFT,Microsoft Corp.,Information Technology
STT,State Street Corp.,Financials
JNPR,Juniper Networks,Information Technology
SWKS,Skyworks Solutions,Information Technology
HAR,Harman Int'l Industries,Consumer Discretionary
ETN,Eaton Corporation,Industrials
CVS,CVS Health,Consumer Staples
BWA,BorgWarner,Consumer Discretionary
KMX,Carmax Inc,Consumer Discretionary
COO,The Cooper Companies,Health Care
FE,FirstEnergy Corp,Utilities
MNST,Monster Beverage,Consumer Staples
HRL,Hormel Foods Corp.,Consumer Staples
LH,Laboratory Corp. of America Holding,Health Care
ADS,Alliance Data Systems,Information Technology
EXR,Extra Space Storage,Real Estate
VNO,Vornado Realty Trust,Real Estate
AMT,American Tower Corp A,Real Estate
AMAT,Applied Materials Inc,Information Technology
EQIX,Equinix,Real Estate
MTB,M&T Bank Corp.,Financials
LVLT,Level 3 Communications,Telecommunications Services
VLO,Valero Energy,Energy
RL,Polo Ralph Lauren Corp.,Consumer Discretionary
VZ,Verizon Communications,Telecommunications Services
RRC,Range Resources Corp.,Energy
TAP,Molson Coors Brewing Company,Consumer Staples
DISCA,Discovery Communications-A,Consumer Discretionary
MET,MetLife Inc.,Financials
MO,Altria Group Inc,Consumer Staples
KORS,Michael Kors Holdings,Consumer Discretionary
CHD,Church & Dwight,Consumer Staples
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary
PAYX,Paychex Inc.,Information Technology
